trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
513,False,"{'a': 0.5, 'e': 0.5985431431440918}",25,11,24.825319153602216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.5, 'e': 0.5979446000009477}",25,10,24.360994226675654,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.5, 'e': 0.5973466554009468}",25,10,26.512426163218215,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.5, 'e': 0.5967493087455459}",20,11,16.724098820172106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.5, 'e': 0.5961525594368003}",30,15,28.564180610179363,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.5, 'e': 0.5955564068773636}",20,1,24.58317210662876,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.5, 'e': 0.5949608504704862}",20,3,25.847495340670267,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.5, 'e': 0.5943658896200157}",20,8,24.79760441543337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.5, 'e': 0.5937715237303957}",30,22,15.768756138972718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.5, 'e': 0.5931777522066652}",20,7,20.44032593681392,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.5, 'e': 0.5925845744544586}",20,1,31.622791468471576,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.5, 'e': 0.5919919898800041}",20,6,23.368453776785067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.5, 'e': 0.5913999978901241}",20,11,15.191241737040338,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.5, 'e': 0.5908085978922339}",20,0,25.832116646576775,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
527,False,"{'a': 0.5, 'e': 0.5902177892943418}",30,24,12.591045730291746,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.5, 'e': 0.5896275715050474}",30,6,35.831664778279475,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.5, 'e': 0.5890379439335424}",20,12,18.837196471852444,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.5, 'e': 0.5884489059896089}",25,6,27.361641728543628,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.5, 'e': 0.5878604570836192}",25,12,21.283272984061963,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.5, 'e': 0.5872725966265356}",30,18,23.360721711264052,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.5, 'e': 0.586685324029909}",20,11,13.628998957408026,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.5, 'e': 0.5860986387058792}",25,18,12.612037554996164,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.5, 'e': 0.5855125400671732}",25,19,7.778963101074069,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.5, 'e': 0.5849270275271061}",20,11,14.852019147300275,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.5, 'e': 0.584342100499579}",20,6,25.48603581269405,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.5, 'e': 0.5837577583990794}",20,10,18.041925150643852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.5, 'e': 0.5831740006406804}",25,0,33.63789226745332,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.5, 'e': 0.5825908266400397}",25,2,35.68089940057657,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.5, 'e': 0.5820082358133996}",20,13,8.262657813937247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.5, 'e': 0.5814262275775862}",20,12,16.17061519261875,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.5, 'e': 0.5808448013500086}",25,17,15.762027995194497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.5, 'e': 0.5802639565486586}",25,0,34.72768707887998,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
545,False,"{'a': 0.5, 'e': 0.57968369259211}",20,6,23.68032125538266,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
